122, 3, 8, badgood, Unpleasant, Pleasant, Fantastic, 7.487954e+04, 7.502393e+04, 7.502418e+04, i, 4.409273e-01, 1, 4.409273e-01
123, 3, 8, badgood, Unpleasant, Pleasant, Fantastic, 7.487954e+04, 7.502464e+04, 7.502489e+04, i, 3.508344e-01, 1, 3.508344e-01
124, 4, 8, badgood, Unpleasant, Pleasant, Foul, 7.487954e+04, 7.502525e+04, 7.502550e+04, e, 5.130892e-01, 1, 5.130892e-01
125, 3, 8, badgood, Unpleasant, Pleasant, Fabulous, 7.487954e+04, 7.502603e+04, 7.502629e+04, i, 7.407339e-01, 1, 7.407339e-01
126, 3, 8, badgood, Unpleasant, Pleasant, Fantastic, 7.487954e+04, 7.502705e+04, 7.502729e+04, i, 3.625749e-01, 1, 3.625749e-01
127, 3, 8, badgood, Unpleasant, Pleasant, Wonderful, 7.487954e+04, 7.502767e+04, 7.502793e+04, i, 5.250210e-01, 1, 5.250210e-01
128, 4, 8, badgood, Unpleasant, Pleasant, Horrible, 7.487954e+04, 7.502846e+04, 7.502871e+04, e, 4.711612e-01, 0, 7.744649e-01
129, 3, 8, badgood, Unpleasant, Pleasant, Nice, 7.487954e+04, 7.502950e+04, 7.502975e+04, i, 5.378500e-01, 1, 5.378500e-01
130, 3, 8, badgood, Unpleasant, Pleasant, Fantastic, 7.487954e+04, 7.503030e+04, 7.503055e+04, i, 7.243772e-01, 1, 7.243772e-01
131, 3, 8, badgood, Unpleasant, Pleasant, Fantastic, 7.487954e+04, 7.503129e+04, 7.503154e+04, i, 4.586120e-01, 1, 4.586120e-01
132, 4, 8, badgood, Unpleasant, Pleasant, Nasty, 7.487954e+04, 7.503200e+04, 7.503226e+04, e, 5.551338e-01, 1, 5.551338e-01
133, 4, 8, badgood, Unpleasant, Pleasant, Disgusting, 7.487954e+04, 7.503282e+04, 7.503308e+04, e, 4.890245e-01, 1, 4.890245e-01
134, 4, 8, badgood, Unpleasant, Pleasant, Foul, 7.487954e+04, 7.503358e+04, 7.503383e+04, e, 6.094619e-01, 1, 6.094619e-01
135, 4, 8, badgood, Unpleasant, Pleasant, Nasty, 7.487954e+04, 7.503444e+04, 7.503470e+04, e, 5.129242e-01, 1, 5.129242e-01
136, 3, 8, badgood, Unpleasant, Pleasant, Superb, 7.487954e+04, 7.503522e+04, 7.503548e+04, i, 6.634440e-01, 1, 6.634440e-01
137, 4, 8, badgood, Unpleasant, Pleasant, Revolting, 7.487954e+04, 7.503616e+04, 7.503642e+04, e, 5.132452e-01, 1, 5.132452e-01
138, 3, 8, badgood, Unpleasant, Pleasant, Fabulous, 7.487954e+04, 7.503694e+04, 7.503720e+04, i, 5.370682e-01, 1, 5.370682e-01
139, 3, 8, badgood, Unpleasant, Pleasant, Nice, 7.487954e+04, 7.503775e+04, 7.503800e+04, i, 7.117060e-01, 1, 7.117060e-01
140, 4, 8, badgood, Unpleasant, Pleasant, Disgusting, 7.487954e+04, 7.503872e+04, 7.503897e+04, e, 5.550351e-01, 1, 5.550351e-01
141, 4, 4, blackbad, Black, White, Horrid, 7.487954e+04, 7.504661e+04, 7.504686e+04, e, 9.700391e-01, 1, 9.700391e-01
142, 1, 4, blackbad, Black, White, B9jpg.jpg, 7.487954e+04, 7.504785e+04, 7.504810e+04, e, 4.410465e-01, 1, 4.410465e-01
143, 4, 4, blackbad, Black, White, Revolting, 7.487954e+04, 7.504855e+04, 7.504880e+04, e, 5.912620e-01, 1, 5.912620e-01
144, 1, 4, blackbad, Black, White, B3jpg.jpg, 7.487954e+04, 7.504940e+04, 7.504965e+04, e, 6.394877e-01, 1, 6.394877e-01
145, 4, 4, blackbad, Black, White, Disgusting, 7.487954e+04, 7.505031e+04, 7.505056e+04, e, 5.552963e-01, 1, 5.552963e-01
146, 1, 4, blackbad, Black, White, B3jpg.jpg, 7.487954e+04, 7.505112e+04, 7.505138e+04, e, 4.648793e-01, 1, 4.648793e-01
147, 3, 4, blackbad, Black, White, Lovely, 7.487954e+04, 7.505186e+04, 7.505211e+04, i, 5.308984e-01, 1, 5.308984e-01
148, 2, 4, blackbad, Black, White, W7jpg.jpg, 7.487954e+04, 7.505265e+04, 7.505291e+04, i, 4.589026e-01, 1, 4.589026e-01
149, 4, 4, blackbad, Black, White, Horrid, 7.487954e+04, 7.505338e+04, 7.505363e+04, e, 7.598648e-01, 1, 7.598648e-01
150, 2, 4, blackbad, Black, White, W6jpg.jpg, 7.487954e+04, 7.505441e+04, 7.505467e+04, i, 9.634294e-01, 1, 9.634294e-01
151, 3, 4, blackbad, Black, White, Lovely, 7.487954e+04, 7.505564e+04, 7.505590e+04, i, 6.571166e-01, 1, 6.571166e-01
152, 2, 4, blackbad, Black, White, W1jpg.jpg, 7.487954e+04, 7.505657e+04, 7.505682e+04, i, 5.371154e-01, 1, 5.371154e-01
153, 3, 4, blackbad, Black, White, Superb, 7.487954e+04, 7.505737e+04, 7.505763e+04, i, 6.337184e-01, 1, 6.337184e-01
154, 2, 4, blackbad, Black, White, W3jpg.jpg, 7.487954e+04, 7.505828e+04, 7.505853e+04, i, 4.413343e-01, 1, 4.413343e-01
155, 3, 4, blackbad, Black, White, Fabulous, 7.487954e+04, 7.505898e+04, 7.505923e+04, i, 6.335286e-01, 1, 6.335286e-01
156, 1, 4, blackbad, Black, White, B9jpg.jpg, 7.487954e+04, 7.505988e+04, 7.506013e+04, e, 5.728763e-01, 1, 5.728763e-01
157, 3, 4, blackbad, Black, White, Lovely, 7.487954e+04, 7.506072e+04, 7.506097e+04, i, 4.765166e-01, 0, 8.467221e-01
158, 1, 4, blackbad, Black, White, B7jpg.jpg, 7.487954e+04, 7.506183e+04, 7.506209e+04, e, 9.513261e-01, 1, 9.513261e-01
159, 4, 4, blackbad, Black, White, Horrible, 7.487954e+04, 7.506306e+04, 7.506331e+04, e, 5.131037e-01, 1, 5.131037e-01
160, 2, 4, blackbad, Black, White, W4jpg.jpg, 7.487954e+04, 7.506383e+04, 7.506408e+04, i, 8.671315e-01, 1, 8.671315e-01
161, 3, 4, blackbad, Black, White, Fantastic, 7.487954e+04, 7.506799e+04, 7.506824e+04, i, 2.483238e+00, 1, 2.483238e+00
162, 1, 4, blackbad, Black, White, B8jpg.jpg, 7.487954e+04, 7.507073e+04, 7.507100e+04, e, 5.006528e-01, 1, 5.006528e-01
163, 3, 4, blackbad, Black, White, Superb, 7.487954e+04, 7.507151e+04, 7.507176e+04, i, 9.946994e-01, 1, 9.946994e-01
164, 1, 4, blackbad, Black, White, B7jpg.jpg, 7.487954e+04, 7.507277e+04, 7.507303e+04, e, 5.251712e-01, 1, 5.251712e-01
165, 3, 4, blackbad, Black, White, Fantastic, 7.487954e+04, 7.507357e+04, 7.507382e+04, i, 6.690991e-01, 0, 9.786863e-01
